                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     56,               0.038291,               0.035736,               0.032804,              0.0062015,                0.69066,                0.65134,                0.65809,                0.45016,                0.70009,                0.64851,                0.65479,                0.46628,               0.046778,               0.032875,               0.024746,               0.011409,              0.0094555,              0.0094555,              0.0094555
                     57,               0.038234,               0.036121,               0.032573,              0.0064413,                0.68652,                0.64224,                0.65062,                0.46129,                0.67773,                0.64997,                0.64293,                0.46436,               0.046851,               0.033719,               0.024907,               0.012406,              0.0094456,              0.0094456,              0.0094456
                     58,               0.038265,               0.035787,               0.032159,              0.0065523,                0.69301,                0.64503,                0.66067,                0.46482,                 0.6906,                0.65985,                0.65966,                0.47593,               0.048016,               0.033395,               0.025126,               0.011024,              0.0094357,              0.0094357,              0.0094357
                     59,               0.037611,               0.035444,               0.032147,              0.0061499,                0.68061,                0.63385,                0.65404,                0.44801,                0.67595,                0.63608,                0.64973,                0.46076,               0.046361,               0.033057,               0.025041,               0.011046,              0.0094258,              0.0094258,              0.0094258
                     60,               0.037988,                0.03552,               0.032142,              0.0061359,                0.70123,                0.63435,                0.66575,                0.47263,                0.70279,                0.63258,                0.65822,                0.47826,               0.047034,               0.032811,               0.024687,               0.011759,              0.0094159,              0.0094159,              0.0094159
                     61,                0.03764,               0.035911,               0.032598,              0.0060828,                0.69426,                0.65256,                0.67164,                0.47735,                0.69045,                0.65055,                0.66212,                 0.4842,               0.047508,               0.034057,               0.024347,               0.012009,               0.009406,               0.009406,               0.009406
                     62,               0.037398,               0.034717,               0.031167,              0.0061685,                0.71504,                0.63838,                0.65815,                0.46183,                0.72269,                0.63577,                0.66027,                0.47739,               0.047052,               0.032747,               0.025255,               0.011986,              0.0093961,              0.0093961,              0.0093961
                     63,               0.037269,               0.035266,               0.031452,              0.0058741,                0.70085,                0.64623,                0.65763,                0.47001,                0.69025,                0.65228,                0.65795,                0.47377,               0.047721,               0.034524,               0.025192,               0.011808,              0.0093862,              0.0093862,              0.0093862
                     64,               0.037271,               0.034962,               0.031475,              0.0061141,                0.70773,                0.65979,                0.66653,                0.47037,                0.71559,                0.65451,                0.66515,                0.47779,               0.046793,               0.033079,               0.024733,                0.01225,              0.0093763,              0.0093763,              0.0093763
                     65,               0.036831,               0.034618,               0.031683,              0.0058942,                0.75422,                0.61878,                0.66606,                0.46647,                0.75054,                0.61255,                0.65806,                0.47769,               0.047298,               0.033184,               0.025322,               0.011142,              0.0093664,              0.0093664,              0.0093664
                     66,               0.036739,               0.034681,               0.031827,              0.0057083,                0.74089,                0.63744,                0.67266,                0.46838,                0.73787,                0.64042,                0.67149,                 0.4813,               0.046541,               0.032728,               0.025078,               0.011652,              0.0093565,              0.0093565,              0.0093565
                     67,               0.036778,               0.034958,               0.030844,              0.0056991,                0.70397,                0.66201,                0.68248,                0.48492,                0.71638,                0.64289,                0.67549,                0.49299,               0.046542,               0.032739,               0.024983,               0.010771,              0.0093466,              0.0093466,              0.0093466
                     68,               0.036976,               0.034637,                0.03082,              0.0057547,                 0.7161,                0.64083,                0.67161,                0.46857,                0.71885,                0.64117,                0.66665,                0.47737,               0.046162,               0.032792,               0.025001,               0.011374,              0.0093367,              0.0093367,              0.0093367
                     69,               0.036727,               0.034507,               0.030945,              0.0053908,                0.69004,                0.65591,                0.65878,                0.46993,                0.69631,                0.65819,                0.65761,                 0.4768,               0.046892,               0.033107,               0.025069,               0.012225,              0.0093268,              0.0093268,              0.0093268
                     70,               0.036531,               0.035021,               0.031263,               0.005811,                0.70932,                0.63859,                0.66205,                0.47416,                0.70746,                0.63643,                0.65657,                 0.4841,               0.047133,               0.033664,               0.025109,               0.011462,              0.0093169,              0.0093169,              0.0093169
                     71,               0.036285,               0.034116,               0.030554,              0.0057096,                0.70237,                0.65405,                0.66903,                0.47416,                0.72079,                0.65009,                0.66709,                0.48343,               0.046726,               0.033548,               0.025535,               0.012013,               0.009307,               0.009307,               0.009307
                     72,               0.035984,               0.033588,               0.030359,              0.0056056,                0.69728,                0.66369,                0.67012,                0.46628,                0.69456,                0.66156,                0.66215,                0.47985,               0.047187,               0.033151,               0.024383,               0.011652,              0.0092971,              0.0092971,              0.0092971
                     73,                0.03611,               0.033922,               0.030285,               0.005342,                0.67211,                0.67746,                0.66659,                 0.4835,                0.69169,                0.67205,                0.66833,                 0.4905,               0.046005,               0.032627,               0.025209,               0.011465,              0.0092872,              0.0092872,              0.0092872
                     74,                0.03581,               0.033493,                0.03029,              0.0051908,                0.68909,                0.67225,                0.67036,                0.48107,                0.69058,                0.65716,                0.66144,                0.48383,               0.046903,               0.032834,               0.025237,               0.011388,              0.0092773,              0.0092773,              0.0092773
                     75,               0.035707,               0.033449,               0.030739,              0.0052532,                0.69718,                0.65797,                0.67812,                0.48606,                0.71219,                0.65035,                0.67644,                0.49324,               0.046366,               0.032665,               0.024688,               0.011115,              0.0092674,              0.0092674,              0.0092674
                     76,               0.035754,               0.033546,               0.030383,              0.0054085,                0.71292,                0.64064,                0.67037,                 0.4787,                0.71115,                0.64251,                 0.6706,                 0.4857,               0.046595,               0.032956,               0.025208,               0.011864,              0.0092575,              0.0092575,              0.0092575
                     77,               0.035278,                0.03331,               0.030264,              0.0054283,                0.72474,                0.66854,                0.66692,                0.47558,                0.71901,                0.66816,                0.66347,                0.48426,               0.046141,               0.033434,               0.025193,               0.011926,              0.0092476,              0.0092476,              0.0092476
                     78,               0.035524,               0.033432,               0.029937,              0.0051633,                0.69267,                 0.6589,                0.65836,                0.47219,                0.68837,                  0.661,                0.65763,                0.48062,               0.047654,               0.033114,                0.02512,               0.012641,              0.0092377,              0.0092377,              0.0092377
                     79,                0.03562,               0.033264,               0.029564,              0.0054658,                0.70217,                0.64669,                0.66137,                0.47553,                0.70822,                 0.6397,                0.65722,                0.48123,               0.047326,               0.033365,               0.025172,               0.011685,              0.0092278,              0.0092278,              0.0092278
                     80,               0.035166,               0.033305,               0.030367,              0.0055963,                0.72904,                0.65158,                0.66812,                0.47084,                0.73585,                0.65364,                0.67318,                0.48202,               0.046784,               0.033181,               0.025011,               0.011634,              0.0092179,              0.0092179,              0.0092179
                     81,               0.035194,               0.032861,               0.030172,              0.0048141,                0.72129,                0.65037,                0.68449,                0.48667,                0.69895,                0.65799,                0.68072,                0.49694,               0.046602,               0.032941,               0.024781,               0.011414,               0.009208,               0.009208,               0.009208
                     82,               0.034907,               0.033223,                0.02956,              0.0052905,                 0.7305,                0.64451,                0.67345,                0.47884,                0.72432,                0.64272,                 0.6709,                0.49214,               0.047757,               0.033447,               0.025117,               0.012547,              0.0091981,              0.0091981,              0.0091981
                     83,               0.035328,               0.032986,               0.029501,              0.0050916,                0.71858,                0.65993,                0.68347,                0.48158,                0.71834,                0.66519,                0.68004,                0.48945,               0.047433,               0.032861,                0.02547,               0.011401,              0.0091882,              0.0091882,              0.0091882
                     84,               0.034976,               0.032599,               0.029099,              0.0051506,                0.70207,                0.66415,                0.67668,                0.48988,                0.70923,                0.65954,                0.67353,                0.49468,               0.046645,               0.032405,               0.025596,               0.010772,              0.0091783,              0.0091783,              0.0091783
                     85,               0.034826,               0.032896,               0.029761,              0.0050774,                0.72005,                0.65415,                0.67167,                0.48177,                0.72096,                0.65257,                0.66218,                0.48826,               0.047309,               0.033191,               0.025014,               0.011725,              0.0091684,              0.0091684,              0.0091684
                     86,               0.035114,               0.032989,               0.029769,              0.0050039,                0.73102,                0.66067,                0.68366,                0.48512,                0.72749,                0.65378,                0.67837,                0.49543,               0.046755,                0.03254,               0.024921,               0.011972,              0.0091585,              0.0091585,              0.0091585
                     87,               0.034419,               0.032701,               0.029029,              0.0051217,                0.73306,                0.65787,                0.68449,                0.48251,                0.70164,                0.67625,                0.67637,                 0.4946,               0.046439,               0.032365,               0.024955,               0.010642,              0.0091486,              0.0091486,              0.0091486
                     88,               0.034583,               0.032372,               0.029665,              0.0048819,                0.70894,                0.64993,                0.67417,                0.48134,                0.75423,                0.62361,                 0.6675,                0.48751,               0.046275,               0.033013,               0.025665,               0.011382,              0.0091387,              0.0091387,              0.0091387
                     89,               0.034221,                0.03266,               0.029342,              0.0047219,                0.70241,                0.66485,                0.68054,                0.48376,                0.70356,                0.66576,                0.67429,                0.49231,               0.046167,               0.032789,               0.025406,               0.011528,              0.0091288,              0.0091288,              0.0091288
                     90,               0.034096,               0.032757,               0.029483,              0.0048102,                0.71696,                0.66848,                0.68072,                0.48895,                0.72466,                0.66369,                0.67187,                0.48878,                0.04659,               0.032696,                0.02529,               0.010652,              0.0091189,              0.0091189,              0.0091189
                     91,               0.034193,               0.032313,               0.029122,              0.0047177,                0.71735,                0.65547,                0.67793,                0.48396,                 0.7213,                0.65862,                0.67627,                0.49425,               0.046626,               0.033258,               0.025343,               0.011049,               0.009109,               0.009109,               0.009109
                     92,               0.034242,               0.032046,               0.028953,              0.0048159,                 0.7252,                0.65622,                0.67999,                0.48818,                0.72268,                0.65425,                0.67804,                0.49482,                0.04631,               0.033051,               0.025389,               0.011184,              0.0090991,              0.0090991,              0.0090991
